"rule_id","guideline_name","disease_type","patient_condition","recommendation_level","recommendation_content","evidence_source","update_date","is_active"
1,中国高血压防治指南2023,高血压,"1级高血压，无其他危险因素",ⅠA,起始单药治疗，首选CCB、ACEI/ARB、利尿剂,中华心血管病杂志2023;51(3):231-240,"2023-05-15",1
2,中国高血压防治指南2023,高血压,"2级高血压或1级高血压伴靶器官损害",ⅠA,起始联合治疗，推荐CCB+ACEI/ARB或CCB+利尿剂,中华心血管病杂志2023;51(3):231-240,"2023-05-15",1
3,中国高血压防治指南2023,高血压,高血压急症，SBP>180mmHg,ⅠA,立即静脉降压治疗，目标1小时内降低不超过25%,中华心血管病杂志2023;51(3):231-240,"2023-05-15",1
4,中国2型糖尿病防治指南2020,糖尿病,新诊断2型糖尿病，HbA1c<7.5%,ⅠA,生活方式干预+二甲双胍起始治疗,中华糖尿病杂志2021;13(4):315-322,"2021-04-20",1
5,中国2型糖尿病防治指南2020,糖尿病,HbA1c≥7.0%且二甲双胍单药控制不佳,ⅠA,二甲双胍+胰岛素促泌剂或DPP-4抑制剂,中华糖尿病杂志2021;13(4):315-322,"2021-04-20",1
6,中国2型糖尿病防治指南2020,糖尿病,HbA1c≥9.0%或有明显高血糖症状,ⅠA,起始胰岛素治疗，可联合口服药,中华糖尿病杂志2021;13(4):315-322,"2021-04-20",1
7,冠心病合理用药指南2022,冠心病,稳定性心绞痛，无禁忌症,ⅠA,阿司匹林75-100mg/d + 他汀类药物,中国医学前沿杂志2022;14(5):1-30,"2022-06-01",1
8,脑卒中二级预防指南2021,脑卒中,缺血性脑卒中后二级预防,ⅠA,抗血小板治疗+积极控制危险因素,中华神经科杂志2021;54(9):881-890,"2021-09-10",1
9,中国高血压防治指南2018,高血压,收缩压≥140mmHg或舒张压≥90mmHg,ⅠA,生活方式干预结合药物治疗,中国高血压防治指南,"2018-08-01",1
10,中国2型糖尿病防治指南2020,糖尿病,HbA1c≥7.0%或空腹血糖≥7.0mmol/L,ⅠA,二甲双胍作为一线用药,中国2型糖尿病防治指南,"2020-06-01",1
11,中国冠心病防治指南2019,冠心病,确诊冠心病患者,ⅠA,阿司匹林抗血小板治疗,中国冠心病防治指南,"2019-05-01",1
12,中国脑卒中防治指南2020,脑卒中,缺血性脑卒中患者,ⅠA,早期康复训练,中国脑卒中防治指南,"2020-04-01",1
13,中国高血压防治指南2018,高血压,合并糖尿病的高血压患者,ⅠB,血压控制目标<130/80mmHg,中国高血压防治指南,"2018-08-01",1
14,中国2型糖尿病防治指南2020,糖尿病,糖尿病合并高血压患者,ⅠB,联合降压治疗,中国2型糖尿病防治指南,"2020-06-01",1
15,中国冠心病防治指南2019,冠心病,稳定性冠心病患者,ⅠA,他汀类药物降脂治疗,中国冠心病防治指南,"2019-05-01",1
16,中国脑卒中防治指南2020,脑卒中,急性缺血性脑卒中,ⅠA,溶栓治疗时间窗内,中国脑卒中防治指南,"2020-04-01",1
17,中国高血压防治指南2018,高血压,老年高血压患者,ⅡA,平稳降压，避免血压波动,中国高血压防治指南,"2018-08-01",1
18,中国2型糖尿病防治指南2020,糖尿病,老年糖尿病患者,ⅡB,个体化血糖控制目标,中国2型糖尿病防治指南,"2020-06-01",1
