"log_id","operation_time","operation_type","operation_user","operation_details","patient_id","execution_time_ms","status"
1,"2025-11-27 09:41:23",分析,医生50,分析患者1001_0_20210730的用药情况,"1001_0_20210730",545,失败
2,"2025-12-03 14:12:24",插入,医生6,查询患者1002_0_20210504的病历信息,"1002_0_20210504",147,成功
3,"2025-11-09 02:22:39",插入,医生17,查询患者1002_1_20210521的病历信息,"1002_1_20210521",824,警告
4,"2025-11-13 06:28:41",删除,医生97,分析患者1002_2_20210909的用药情况,"1002_2_20210909",380,成功
5,"2025-11-07 17:09:55",更新,医生39,查询患者1003_0_20210831的病历信息,"1003_0_20210831",246,成功
6,"2025-12-01 18:51:06",分析,医生8,分析患者1004_0_20210425的用药情况,"1004_0_20210425",562,警告
7,"2025-11-19 23:43:54",插入,医生73,查询患者1005_0_20210522的病历信息,"1005_0_20210522",57,成功
8,"2025-11-13 05:14:48",插入,医生46,查询患者1006_0_20210114的病历信息,"1006_0_20210114",154,成功
9,"2025-11-29 14:58:07",分析,医生10,分析患者1006_1_20210209的用药情况,"1006_1_20210209",397,成功
10,"2025-12-07 08:15:26",分析,医生31,分析患者1007_0_20210726的用药情况,"1007_0_20210726",829,成功
11,"2025-12-06 05:39:50",分析,医生50,分析患者1008_0_20210713的用药情况,"1008_0_20210713",877,成功
12,"2025-11-10 02:11:58",分析,医生69,更新患者1009_0_20210803的诊断记录,"1009_0_20210803",433,成功
13,"2025-11-12 09:00:05",分析,医生73,更新患者1010_0_20210915的诊断记录,"1010_0_20210915",124,成功
14,"2025-11-08 21:08:16",分析,医生78,查询患者1011_0_20210622的病历信息,"1011_0_20210622",60,警告
15,"2025-12-07 05:48:25",查询,医生75,查询患者1012_0_20210923的病历信息,"1012_0_20210923",808,成功
16,"2025-12-02 09:04:22",查询,医生49,查询患者2000_0_20201230的病历信息,"2000_0_20201230",266,成功
17,"2025-11-13 14:18:54",查询,医生43,查询患者2001_0_20201102的病历信息,"2001_0_20201102",488,成功
18,"2025-12-06 02:57:44",分析,医生96,更新患者2001_1_20201117的诊断记录,"2001_1_20201117",559,成功
19,"2025-11-18 18:34:40",查询,医生81,分析患者2002_0_20210513的用药情况,"2002_0_20210513",790,成功
20,"2025-11-09 12:33:15",查询,医生77,分析患者2003_0_20210615的用药情况,"2003_0_20210615",586,成功
21,"2025-11-14 07:45:01",插入,医生89,分析患者2004_0_20211028的用药情况,"2004_0_20211028",429,成功
22,"2025-11-28 13:34:20",分析,医生16,分析患者2005_0_20211201的用药情况,"2005_0_20211201",223,成功
23,"2025-12-02 06:20:05",分析,医生1,分析患者2006_0_20211112的用药情况,"2006_0_20211112",637,成功
24,"2025-12-01 15:13:21",分析,医生76,分析患者2007_0_20220108的用药情况,"2007_0_20220108",621,成功
25,"2025-11-29 12:14:56",插入,医生1,分析患者2008_0_20220118的用药情况,"2008_0_20220118",571,成功
26,"2025-11-08 22:17:55",查询,医生24,更新患者2009_0_20211103的诊断记录,"2009_0_20211103",233,成功
27,"2025-11-09 17:27:17",分析,医生45,查询患者2012_0_20220126的病历信息,"2012_0_20220126",258,成功
28,"2025-11-26 23:31:51",查询,医生19,分析患者2013_0_20220123的用药情况,"2013_0_20220123",670,成功
29,"2025-11-08 03:30:13",查询,医生61,分析患者2014_0_20201224的用药情况,"2014_0_20201224",622,成功
30,"2025-11-21 06:01:38",分析,医生61,更新患者2014_1_20210317的诊断记录,"2014_1_20210317",97,警告
31,"2025-11-30 16:14:25",更新,医生47,分析患者2015_0_20210203的用药情况,"2015_0_20210203",716,成功
32,"2025-11-20 02:13:00",插入,医生95,更新患者2015_1_20210219的诊断记录,"2015_1_20210219",231,成功
33,"2025-11-28 17:21:49",分析,医生0,查询患者2016_0_20201224的病历信息,"2016_0_20201224",69,成功
34,"2025-11-12 11:35:37",分析,医生98,查询患者2017_0_20210102的病历信息,"2017_0_20210102",324,成功
35,"2025-11-29 08:17:45",分析,医生89,分析患者2017_1_20201118的用药情况,"2017_1_20201118",785,成功
36,"2025-11-28 23:41:44",查询,医生93,更新患者2018_0_20210420的诊断记录,"2018_0_20210420",473,警告
37,"2025-11-19 16:05:39",分析,医生28,更新患者2019_0_20210513的诊断记录,"2019_0_20210513",436,成功
38,"2025-11-24 16:54:31",更新,医生94,查询患者2020_0_20210423的病历信息,"2020_0_20210423",55,成功
39,"2025-11-26 04:09:29",删除,医生83,查询患者2021_0_20211013的病历信息,"2021_0_20211013",391,成功
40,"2025-11-08 03:29:08",分析,医生33,分析患者2022_0_20210419的用药情况,"2022_0_20210419",364,成功
41,"2025-12-03 12:50:51",分析,医生33,分析患者2023_0_20210812的用药情况,"2023_0_20210812",332,成功
42,"2025-12-04 06:36:19",分析,医生45,分析患者2024_0_20210429的用药情况,"2024_0_20210429",958,成功
43,"2025-11-21 17:51:09",更新,医生11,分析患者2025_0_20210506的用药情况,"2025_0_20210506",243,成功
44,"2025-11-12 20:28:59",分析,医生69,分析患者2026_0_20210916的用药情况,"2026_0_20210916",596,成功
45,"2025-12-03 21:43:03",更新,医生21,分析患者2027_0_20210521的用药情况,"2027_0_20210521",243,成功
46,"2025-11-08 23:39:29",插入,医生65,分析患者2028_0_20210426的用药情况,"2028_0_20210426",459,成功
47,"2025-11-27 00:35:05",查询,医生47,更新患者2030_0_20210531的诊断记录,"2030_0_20210531",119,成功
48,"2025-11-30 02:23:53",删除,医生10,分析患者2031_0_20210601的用药情况,"2031_0_20210601",877,成功
49,"2025-11-25 06:48:19",分析,医生36,分析患者2032_0_20210727的用药情况,"2032_0_20210727",976,失败
50,"2025-11-28 03:09:37",查询,医生55,更新患者2033_0_20210615的诊断记录,"2033_0_20210615",945,成功
51,"2025-12-01 16:26:18",删除,医生81,查询患者2034_0_20210624的病历信息,"2034_0_20210624",695,成功
52,"2025-11-08 06:59:18",分析,医生35,分析患者2035_0_20210629的用药情况,"2035_0_20210629",813,成功
53,"2025-11-17 18:33:34",更新,医生41,更新患者2036_0_20210803的诊断记录,"2036_0_20210803",839,成功
54,"2025-11-26 13:19:07",查询,医生15,分析患者2037_0_20201221的用药情况,"2037_0_20201221",900,成功
55,"2025-11-22 15:04:47",查询,医生35,分析患者2040_0_20210729的用药情况,"2040_0_20210729",416,成功
56,"2025-12-06 02:56:35",分析,医生33,分析患者2041_0_20210813的用药情况,"2041_0_20210813",940,成功
57,"2025-11-21 16:37:06",查询,医生45,分析患者2042_0_20211019的用药情况,"2042_0_20211019",50,成功
58,"2025-11-23 05:11:30",更新,医生93,查询患者2043_0_20210513的病历信息,"2043_0_20210513",973,警告
59,"2025-11-23 07:51:24",删除,医生61,分析患者2044_0_20211101的用药情况,"2044_0_20211101",679,成功
60,"2025-11-23 15:31:54",分析,医生67,分析患者2045_0_20201216的用药情况,"2045_0_20201216",873,成功
61,"2025-11-14 06:18:00",分析,医生35,分析患者2046_0_20201216的用药情况,"2046_0_20201216",615,成功
62,"2025-12-03 06:34:12",插入,医生89,分析患者2047_0_20210420的用药情况,"2047_0_20210420",791,成功
63,"2025-11-14 16:51:20",删除,医生22,分析患者2048_0_20210426的用药情况,"2048_0_20210426",48,成功
64,"2025-11-24 15:42:40",更新,医生96,分析患者2050_0_20210510的用药情况,"2050_0_20210510",415,警告
65,"2025-11-12 01:26:04",分析,医生14,分析患者2051_0_20210512的用药情况,"2051_0_20210512",604,警告
66,"2025-11-18 19:49:54",更新,医生30,更新患者2052_0_20210511的诊断记录,"2052_0_20210511",901,成功
67,"2025-11-23 14:03:50",删除,医生72,分析患者2053_0_20210518的用药情况,"2053_0_20210518",38,成功
68,"2025-11-08 08:37:09",插入,医生31,分析患者2054_0_20210524的用药情况,"2054_0_20210524",736,成功
69,"2025-12-05 01:41:25",插入,医生90,分析患者2055_0_20210524的用药情况,"2055_0_20210524",849,成功
70,"2025-11-25 11:53:10",分析,医生53,更新患者2055_1_20201207的诊断记录,"2055_1_20201207",40,警告
71,"2025-12-02 13:55:04",查询,医生15,更新患者2056_0_20210524的诊断记录,"2056_0_20210524",276,成功
72,"2025-11-24 18:04:17",删除,医生70,更新患者2057_0_20210525的诊断记录,"2057_0_20210525",498,成功
73,"2025-12-05 14:32:00",分析,医生40,更新患者2060_0_20201214的诊断记录,"2060_0_20201214",666,成功
74,"2025-11-29 12:12:49",插入,医生57,查询患者2061_0_20210601的病历信息,"2061_0_20210601",577,成功
75,"2025-11-22 11:33:31",分析,医生81,分析患者2062_0_20210601的用药情况,"2062_0_20210601",844,成功
76,"2025-11-07 14:42:55",删除,医生52,分析患者2063_0_20210608的用药情况,"2063_0_20210608",446,成功
77,"2025-11-12 04:59:32",查询,医生25,分析患者2064_0_20210608的用药情况,"2064_0_20210608",57,成功
78,"2025-11-27 17:21:47",分析,医生74,分析患者2065_0_20210615的用药情况,"2065_0_20210615",509,成功
79,"2025-11-08 04:44:15",分析,医生11,查询患者2066_0_20210615的病历信息,"2066_0_20210615",598,成功
80,"2025-11-29 22:28:49",查询,医生8,查询患者2067_0_20210615的病历信息,"2067_0_20210615",434,成功
